doi,alias,primary,project,notes
10.60873/FK2/AOLEOI,itbi_sp,true,itbi,
10.60873/FK2/TOXCRF,iptu_sp,true,densidade,Cadastro IPTU; Dataverse title overlaps with 4QNTOT
10.60873/FK2/FPCIDI,alvaras_sp,true,alvaras,
10.60873/FK2/GTO7DD,censo_setores_sp,true,densidade,
10.60873/FK2/4QNTOT,iptu_verticalizacao_sp,true,densidade,
10.60873/FK2/90SSHM,densidade_imoveis_sp,true,densidade,
10.60873/FK2/7IXFPX,geoses_sp,true,geoses,
10.60873/FK2/CDXI9B,mortalidade_sp,true,mortalidade,New DOI; supersedes JJ8JIN
10.60873/FK2/TONMVQ,ilhas_calor_mare,true,mare,
10.60873/FK2/TONMVQ,qualidade_ar_mare,false,mare,
10.60873/FK2/TONMVQ,areas_coleta_mare,false,mare,
10.60873/FK2/5XUNNW,pemob_anual,true,pemob,
10.60873/FK2/5XUNNW,pemob_harmonizada,false,pemob,
10.60873/FK2/9MZGJL,embarques_hora,true,motiva,
10.60873/FK2/UTGQ0I,embarques_diarios,true,motiva,
10.60873/FK2/BPYHFB,embarques_mensais,true,motiva,
10.60873/FK2/UOKFMF,embarques_integracao,true,motiva,
10.60873/FK2/YWXLQS,linhas_motiva,true,motiva,
10.60873/FK2/YWXLQS,estacoes_motiva,false,motiva,
10.60873/FK2/A4AC1I,faixa_azul_sp,true,faixa_azul,
10.60873/FK2/IRGJPX,sinistros_sp,true,faixa_azul,
10.60873/FK2/XA5PFG,sinistros_via_sp,true,faixa_azul,
